title,preview
"New Selfie Shows Curiosity, the Mars Chemist",The NASA rover performed a special chemistry experiment at the location captured in its newest self-portrait.
Virginia Middle School Student Earns Honor of Naming NASA's Next Mars Rover,"NASA chose a seventh-grader from Virginia as winner of the agency's ""Name the Rover"" essay contest. Alexander Mather's entry for ""Perseverance"" was voted tops among 28,000 entries. "
Newfound Martian Aurora Actually the Most Common; Sheds Light on Mars' Changing Climate,"A type of Martian aurora first identified by NASA’s MAVEN spacecraft in 2016 is actually the most common form of aurora occurring on the Red Planet, according to new results from the mission."
NASA's Mars 2020 Rover Completes Its First Drive,"In a 10-plus-hour marathon, the rover steered, turned and drove in 3-foot (1-meter) increments over small ramps."
How NASA's Mars Helicopter Will Reach the Red Planet's Surface,"The small craft will seek to prove that powered, controlled flight is possible on another planet. But just getting it onto the surface of Mars will take a whole lot of ingenuity."
NASA's MAVEN Maps Winds in the Martian Upper Atmosphere that Mirror the Terrain Below and Gives Clues to Martian Climate,"Researchers have created the first map of wind circulation in the upper atmosphere of a planet besides Earth, using data from NASA’s MAVEN spacecraft that were collected during the last two years."
Two Rovers to Roll on Mars Again: Curiosity and Mars 2020,"They look like twins. But under the hood, the rover currently exploring the Red Planet and the one launching there this summer have distinct science tools and roles to play."
Mars Scientists Investigate Ancient Life in Australia,Teams with NASA's Mars 2020 and ESA's ExoMars practiced hunting for fossilized microbial life in the Australian Outback in preparation for their Red Planet missions. 
NASA's Ingenuity Mars Helicopter Recharges Its Batteries in Flight,"Headed to the Red Planet with the Perseverance rover, the pioneering helicopter is powered up for the first time in interplanetary space as part of a systems check."
Air Deliveries Bring NASA's Perseverance Mars Rover Closer to Launch,A NASA Wallops Flight Facility cargo plane transported more than two tons of equipment — including the rover's sample collection tubes — to Florida for this summer's liftoff.
NASA InSight's 'Mole' Is Out of Sight,"Now that the heat probe is just below the Martian surface, InSight's arm will scoop some additional soil on top to help it keep digging so it can take Mars' temperature."
"NASA's Perseverance Rover Goes Through Trials by Fire, Ice, Light and Sound","The agency's new Mars rover is put through a series of tests in vacuum chambers, acoustic chambers and more to get ready for the Red Planet."
NASA's Perseverance Rover Mission Getting in Shape for Launch,Stacking spacecraft components on top of each other is one of the final assembly steps before a mission launches to the Red Planet. 
NASA's Mars 2020 Rover Goes Coast-to-Coast to Prep for Launch,The agency's first step in returning rocks from Mars just arrived at Kennedy Space Center. The Mars 2020 team now begins readying for a launch to the Red Planet this July.
NASA's Curiosity Keeps Rolling As Team Operates Rover From Home,The team has learned to meet new challenges as they work remotely on the Mars mission.
